tx_id,user_id,timestamp,science_data_id_list,conference_data_id_list,journal_data_id_list,patent_data_id_list,action,first_title,second_title,data_type
,,,,"1247,1251,1236",kjxx200925042,,check,前沿预判跟踪,电子信息,"会议,期刊"
,,,,"1389,1368","jiangxyxjy200905005,jiangxyxjy200905059",197,check,前沿预判跟踪,生物医药,"会议,期刊,专利"
,,,,1551,,,check,前沿预判跟踪,电子信息,会议
,,,,"2112,2113",jmzzyzdh200904015,262,check,前沿预判跟踪,新能源汽车,"会议,期刊,专利"
,,,,,"hjjy200909025,hnaqyfz200908020",299,check,前沿预判跟踪,节能环保,"期刊,专利"
,,,,"1370,1374",jzgr200910023,193,check,前沿预判跟踪,新材料,"会议,期刊,专利"
,,,,"1325,1319,1335","kjxx200926165,jiaos200920048","335,345",check,前沿预判跟踪,智能制造,"会议,期刊,专利"
,,,,"1138,1140",jz200919040,"466,468",check,前沿预判跟踪,智能制造,"会议,期刊,专利"
,,,,"1374,1424,1406",tcxb201704016,82,check,前沿预判跟踪,智能制造,"会议,期刊,专利"
,,,,"1253,1593","jkbd-x201308184,jkbd-x201205017","229,230",check,前沿预判跟踪,生物医药,"会议,期刊,专利"
,,,,"1547,1545,1563",kjxx200926477,"396,415",check,前沿预判跟踪,电子信息,"会议,期刊,专利"
,,,,"1551,1564,1573",,191,check,前沿预判跟踪,电子信息,"会议,专利"
,,,,"1329,1327",,"194,202",check,前沿预判跟踪,电子信息,"会议,专利"
,,,,1339,tcxb201704014,"454,452",check,前沿预判跟踪,智能制造,"会议,期刊,专利"
,,,,1337,jdcpkfycx200905073,492,check,前沿预判跟踪,智能制造,"会议,期刊,专利"
,,,,"1606,1610",xbyy-g201704015,,check,前沿预判跟踪,生物医药,"会议,期刊"
,,,,1609,xbyy-g201704014,,check,前沿预判跟踪,生物医药,"会议,期刊"
,,,,1148,"jkbd-x201209447,jkbd-x201308195",197,check,前沿预判跟踪,生物医药,"会议,期刊,专利"
,,,,1424,"tcxb201704021,tcxb201704015",,check,前沿预判跟踪,新材料,"会议,期刊"
,,,,"1473,1474",tcxb201704020,,check,前沿预判跟踪,新材料,"会议,期刊"
,,,,"2159, 2177, 1442","jz200919023, hubdy200905014","59, 63",check,企业创新活动,高技术企业产业分析,"会议,期刊,专利"
,,,,"2163, 2188, 2177, 2159, 2186","jxsj200910015, jssj2009z1015",,check,企业创新活动,高技术企业产业分析,"会议,期刊"
,,,,"2182, 2181, 2146","shcsgh201704013, kjzxdb200926059, jxsj200910015","122, 190, 139",check,企业创新活动,企业创新活动跟踪,"会议,期刊,专利"
,,,,"2131, 2137, 2154, 2139",kjxx200926165,,check,企业创新活动,企业创新活动跟踪,"会议,期刊"
,,,,"1243, 1230, 1245, 1231, 1259",,"418, 411",check,企业创新活动,企业创新活动跟踪,会议
,,,,"1221, 1223","shcsgh201704005, kjzx200926027",,check,企业创新活动,企业创新活动跟踪,"会议,期刊"
,,,,"1965, 1956, 1949, 1953","tcxb201704014, tcxb201704008",,check,企业创新活动,企业创新活动跟踪,"会议,期刊"
,,,,,,"1, 56, 20",check,科技成果转化,专利运营,专利
,,,,,,"13, 9, 22, 31",check,科技成果转化,专利运营,专利
,,,,,,"31, 13",check,科技成果转化,专利运营,专利
,,,,,,"33, 24, 39, 41",check,科技成果转化,专利运营,专利
,,,,,,"20, 49, 47, 125",check,科技成果转化,专利运营,专利
,,,,,,"69, 67, 71",check,科技成果转化,专利运营,专利
,,,,,,"228, 227, 232, 230",check,科技成果转化,专利运营,专利
,,,,,,"357, 358, 360",check,科技成果转化,专利运营,专利
,,,,,,"365, 364",check,科技成果转化,专利运营,专利
,,,,1549,,"29,31,41,104",check,重点领域综合分析,智能机器人,"会议,专利"
,,,,"1282,1284,1293,1290,1292,1245",,,check,重点领域综合分析,物联网,会议
,,,,"1357,1596,1606","xbyy-g201704019,xbyy-g201704016",,check,重点领域综合分析,智能农业,"会议,期刊"
,,,,2005,hebsfdxzrkxxb200903026,"61,79",check,重点领域综合分析,智能农业,"会议,期刊,专利"
,,,,,,"11,15,21,29",check,重点领域综合分析,智能机器人,专利
,,,,2143,"kjzxdb200926117,kjxx200926466,kjqbkfyjj200922035",179,check,重点领域综合分析,物联网,"会议,期刊,专利"
,,,,"1305,1535,1139",kjxx200924254,25,check,重点领域综合分析,人工智能,"会议,期刊,专利"
,,,,1442,hunny200911027,182,check,重点领域综合分析,智能农业,"会议,期刊,专利"
,,,,"1495,1595,1942",,,check,重点领域综合分析,虚拟现实,会议
,,,,"2026,2015,1309,1307","tcxb201704015,tcxb201704013",487,check,重点领域综合分析,第三代半导体,"会议,期刊,专利"
,,,,,,"13,15,30,31,104",check,重点领域综合分析,智能机器人,专利
,,,,,,"430,166",check,重点领域综合分析,物联网,专利
,,,,"1551,1556,1557,1560",,,check,重点领域综合分析,人工智能,会议
,,,,"1196,1219,1434,1435",hnny200919010,,check,重点领域综合分析,智能农业,"会议,期刊"
,,,,,,"13,21,31",check,重点领域综合分析,智能机器人,专利
,,,,,jxgys200910031,"88,117,262,327",check,重点领域综合分析,智能驾驶,"期刊,专利"
,,,,,"zgnxtb201231002,zgnxtb201231003,zgnxtb201231004",,check,重点领域综合分析,智能农业,期刊
,,,,"1228,1229,1231,1234,1239",,,check,重点领域综合分析,物联网,会议
,,,,"1183,1257",,,check,重点领域综合分析,人工智能,会议
,,,,,"xbyy-g201704021,xbyy-g201704017,xbyy-g201704016,xbyy-g201704015",,check,重点领域综合分析,智能农业,期刊